id,first_name,last_name,phone,address,city,postalcode,country
103,Carine ,Schmitt,40.32.2555,"54, rue Royale",Nantes,44000,France
112,Jean,King,7025551838,8489 Strong St.,Las Vegas,83030,USA
114,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia
119,Janine ,Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France
121,Jonas ,Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway
124,Susan,Nelson,4155551450,5677 Strong St.,San Rafael,97562,USA
125,Zbyszek ,Piestrzeniewicz,(26) 642-7555,ul. Filtrowa 68,Warszawa,01-012,Poland
128,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
129,Julie,Murphy,6505555787,5557 North Pendale Street,San Francisco,94217,USA
131,Kwai,Lee,2125557818,897 Long Airport Avenue,NYC,10022,USA
141,Diego ,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain
144,Christina ,Berglund,0921-12 3555,Berguvsvägen  8,Luleå,S-958 22,Sweden
145,Jytte ,Petersen,31 12 3555,Vinbæltet 34,Kobenhavn,1734,Denmark
146,Mary ,Saveley,78.32.5555,"2, rue du Commerce",Lyon,69004,France
148,Eric,Natividad,+65 221 7555,Bronz Sok.,Singapore,079903,Singapore
151,Jeff,Young,2125557413,4092 Furth Circle,NYC,10022,USA
157,Kelvin,Leong,2155551555,7586 Pompton St.,Allentown,70267,USA
161,Juri,Hashimoto,6505556809,9408 Furth Circle,Burlingame,94217,USA
166,Wendy,Victorino,+65 224 1555,106 Linden Road Sandown,Singapore,069045,Singapore
167,Veysel,Oeztan,+47 2267 3215,Brehmen St. 121,Bergen,N 5804,Norway
168,Keith,Franco,2035557845,149 Spinnaker Dr.,New Haven,97823,USA
169,Isabel ,de Castro,(1) 356-5555,Estrada da saúde n. 58,Lisboa,1756,Portugal
171,Martine ,Rancé,20.16.1555,"184, chaussée de Tournai",Lille,59000,France
172,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
173,Jerry,Tseng,6175555555,4658 Baden Av.,Cambridge,51247,USA
